"V1" "V2" "V3"
"196" "ABW" "TJK" "12917.73"
"197" "ABW" "TKL" "11515.18"
"198" "ABW" "TKM" "12265.52"
"199" "ABW" "TMP" "18262.52"
"200" "ABW" "TON" "12067.62"
"201" "ABW" "TTO" "959.7569"
"202" "ABW" "TUN" "8328.585"
"203" "ABW" "TUR" "9845.79"
"204" "ABW" "TUV" "12456.92"
"205" "ABW" "TWN" "15659.13"
"206" "ABW" "TZA" "12282.36"
"207" "ABW" "UGA" "11386.03"
"208" "ABW" "UKR" "9678.449"
"209" "ABW" "URY" "5483.935"
"210" "ABW" "USA" "3161.668"
"211" "ABW" "UZB" "12732.29"
"212" "ABW" "VCT" "964.7043"
"213" "ABW" "VEN" "408.8065"
"214" "ABW" "VGB" "881.2882"
"215" "ABW" "VNM" "16271.96"
"216" "ABW" "VUT" "13756.36"
"217" "ABW" "WLF" "12049.83"
"218" "ABW" "WSM" "13348.89"
"219" "ABW" "YEM" "12161.9"
"220" "ABW" "YUG" "9082.858"
"221" "ABW" "ZAF" "10662.36"
"222" "ABW" "ZAR" "9622.77"
"223" "ABW" "ZMB" "11267.38"
"224" "ABW" "ZWE" "11603.47"
"225" "AFG" "ABW" "13257.81"
"226" "AFG" "AFG" "303.7614"
"227" "AFG" "AGO" "7607.8"
"228" "AFG" "AIA" "12292.16"
"229" "AFG" "ALB" "4342.117"
"230" "AFG" "AND" "5806.359"
"231" "AFG" "ANT" "13218.26"
"232" "AFG" "ARE" "1813.615"
"233" "AFG" "ARG" "15298.5"
"234" "AFG" "ARM" "2266.15"
"235" "AFG" "ATG" "12297.09"
"236" "AFG" "AUS" "11433.49"
"237" "AFG" "AUT" "4568.098"
"238" "AFG" "AZE" "1822.217"
"239" "AFG" "BDI" "5930.057"
"240" "AFG" "BEL" "5416.121"
"241" "AFG" "BEN" "7481.006"
"242" "AFG" "BFA" "7497.595"
"243" "AFG" "BGD" "2376.978"
"244" "AFG" "BGR" "4043.005"
"245" "AFG" "BHR" "2004.434"
"246" "AFG" "BHS" "12518.58"
"247" "AFG" "BIH" "4428.614"
"248" "AFG" "BLR" "3880.9"
"249" "AFG" "BLZ" "13822.82"
"250" "AFG" "BMU" "11177.66"
"251" "AFG" "BOL" "15349.95"
"252" "AFG" "BRA" "13771.76"
"253" "AFG" "BRB" "12465.55"
"254" "AFG" "BRN" "5741.141"
"255" "AFG" "BTN" "2103.501"
"256" "AFG" "BWA" "8023.767"
"257" "AFG" "CAF" "6188.315"
"258" "AFG" "CAN" "10768.89"
"259" "AFG" "CCK" "5992.465"
"260" "AFG" "CHE" "5247.043"
"261" "AFG" "CHL" "16353.9"
"262" "AFG" "CHN" "4180.438"
"263" "AFG" "CIV" "8144.624"
"264" "AFG" "CMR" "6842.123"
"265" "AFG" "COG" "7100.583"
"266" "AFG" "COK" "15044.61"
"267" "AFG" "COL" "14288.69"
"268" "AFG" "COM" "5824.411"
"269" "AFG" "CPV" "9324.58"
"270" "AFG" "CRI" "14334.57"
"271" "AFG" "CUB" "12952.4"
"272" "AFG" "CXR" "6312.074"
"273" "AFG" "CYM" "13283.3"
"274" "AFG" "CYP" "3257.972"
"275" "AFG" "CZE" "4708.024"
"276" "AFG" "DEU" "5226.514"
"277" "AFG" "DJI" "3668.116"
"278" "AFG" "DMA" "12416.77"
"279" "AFG" "DNK" "4857.692"
"280" "AFG" "DOM" "12709.28"
"281" "AFG" "DZA" "5866.736"
"282" "AFG" "ECU" "14950.6"
"283" "AFG" "EGY" "3584.319"
"284" "AFG" "ERI" "3706.288"
"285" "AFG" "ESH" "7696.608"
"286" "AFG" "ESP" "6290.493"
"287" "AFG" "EST" "4238.918"
"288" "AFG" "ETH" "4196.206"
"289" "AFG" "FIN" "4254.794"
"290" "AFG" "FJI" "12880.35"
"291" "AFG" "FLK" "15447.96"
"292" "AFG" "FRA" "5590.381"
"293" "AFG" "FRO" "5959.883"
"294" "AFG" "FSM" "9494.704"
"295" "AFG" "GAB" "7263.688"
"296" "AFG" "GBR" "5718.078"
"297" "AFG" "GEO" "2270.991"
"298" "AFG" "GHA" "7786.48"
"299" "AFG" "GIB" "6593.598"
"300" "AFG" "GIN" "8955.442"
"301" "AFG" "GLP" "12384.11"
"302" "AFG" "GMB" "8798.221"
"303" "AFG" "GNB" "8805.014"
"304" "AFG" "GNQ" "7088.998"
"305" "AFG" "GRC" "4058.47"
"306" "AFG" "GRD" "12707.12"
"307" "AFG" "GRL" "7901.775"
"308" "AFG" "GTM" "14157.62"
"309" "AFG" "GUF" "12506.79"
"310" "AFG" "GUY" "12850.2"
"311" "AFG" "HKG" "4566.617"
"312" "AFG" "HND" "14078.02"
"313" "AFG" "HRV" "4608.2"
"314" "AFG" "HTI" "12861"
"315" "AFG" "HUN" "4367.694"
"316" "AFG" "IDN" "6000.786"
"317" "AFG" "IND" "1003.893"
"318" "AFG" "IRL" "6085.926"
"319" "AFG" "IRN" "1620.826"
"320" "AFG" "IRQ" "2285.353"
"321" "AFG" "ISL" "6658.555"
"322" "AFG" "ISR" "3199.193"
"323" "AFG" "ITA" "4935.994"
"324" "AFG" "JAM" "13173.26"
"325" "AFG" "JOR" "3096.229"
"326" "AFG" "JPN" "6278.016"
"327" "AFG" "KAZ" "1180.169"
"328" "AFG" "KEN" "5221.581"
"329" "AFG" "KGZ" "1043.715"
"330" "AFG" "KHM" "4421.175"
"331" "AFG" "KIR" "11202.85"
"332" "AFG" "KNA" "12346.53"
"333" "AFG" "KOR" "5131.888"
"334" "AFG" "KWT" "2079.553"
"335" "AFG" "LAO" "3784.918"
"336" "AFG" "LBN" "3088.869"
"337" "AFG" "LBR" "8699.117"
"338" "AFG" "LBY" "5133.119"
"339" "AFG" "LCA" "12492.83"
"340" "AFG" "LKA" "3261.061"
"341" "AFG" "LSO" "8347.427"
"342" "AFG" "LTU" "4042.829"
"343" "AFG" "LUX" "5304.336"
"344" "AFG" "LVA" "4186.274"
"345" "AFG" "MAC" "4512.573"
"346" "AFG" "MAR" "6811.536"
"347" "AFG" "MDA" "3626.967"
"348" "AFG" "MDG" "6370.142"
"349" "AFG" "MDV" "3406.564"
"350" "AFG" "MEX" "13906.07"
"351" "AFG" "MHL" "10652.17"
"352" "AFG" "MKD" "4198.337"
"353" "AFG" "MLI" "8056.615"
"354" "AFG" "MLT" "4906.982"
"355" "AFG" "MMR" "3330.212"
"356" "AFG" "MNG" "3443.545"
"357" "AFG" "MNP" "7848.57"
"358" "AFG" "MOZ" "7760.658"
"359" "AFG" "MRT" "8455.042"
"360" "AFG" "MSR" "12360.26"
"361" "AFG" "MTQ" "12452.47"
"362" "AFG" "MUS" "6210.945"
"363" "AFG" "MWI" "6565.831"
"364" "AFG" "MYS" "4846.316"
"365" "AFG" "NAM" "8405.997"
"366" "AFG" "NCL" "12033.22"
"367" "AFG" "NER" "7082.385"
"368" "AFG" "NFK" "12536.67"
"369" "AFG" "NGA" "7391.676"
"370" "AFG" "NIC" "14235.58"
"371" "AFG" "NIU" "13997.75"
"372" "AFG" "NLD" "5361.4"
"373" "AFG" "NOR" "5014.602"
"374" "AFG" "NPL" "1710.066"
"375" "AFG" "NRU" "10757.73"
"376" "AFG" "NZL" "13762"
"377" "AFG" "OMN" "1587.942"
"378" "AFG" "PAK" "374.6522"
"379" "AFG" "PAL" "3244.844"
"380" "AFG" "PAN" "14179.02"
"381" "AFG" "PCN" "17900.4"
"382" "AFG" "PER" "15811.19"
"383" "AFG" "PHL" "5617.854"
"384" "AFG" "PLW" "7294.72"
"385" "AFG" "PNG" "9528.009"
"386" "AFG" "POL" "4267.977"
"387" "AFG" "PRI" "12479.58"
"388" "AFG" "PRK" "4989.095"
"389" "AFG" "PRT" "6791.342"
"390" "AFG" "PRY" "14862.55"
"391" "AFG" "PYF" "15755.99"
"392" "AFG" "QAT" "1987.925"
"393" "AFG" "REU" "6333.151"
"394" "AFG" "ROM" "3813.935"
"395" "AFG" "RUS" "3367.526"
"396" "AFG" "RWA" "5755.222"
"397" "AFG" "SAU" "2425.437"
"398" "AFG" "SDN" "4222.921"
"399" "AFG" "SEN" "8799.582"
"400" "AFG" "SGP" "5157.892"
"401" "AFG" "SHN" "9691.432"
"402" "AFG" "SLB" "10680.29"
"403" "AFG" "SLE" "8795.566"
"404" "AFG" "SLV" "14203.46"
"405" "AFG" "SMR" "4901.499"
"406" "AFG" "SOM" "4380.182"
"407" "AFG" "SPM" "9474.967"
"408" "AFG" "STP" "7512.917"
"409" "AFG" "SUR" "12679.81"
"410" "AFG" "SVK" "4508.77"
"411" "AFG" "SVN" "4719.426"
"412" "AFG" "SWE" "4597.182"
"413" "AFG" "SWZ" "7872.171"
"414" "AFG" "SYC" "4589.381"
"415" "AFG" "SYR" "3022.602"
"416" "AFG" "TCA" "12522.61"
"417" "AFG" "TCD" "5989.595"
"418" "AFG" "TGO" "7601.833"
"419" "AFG" "THA" "3903.415"
"420" "AFG" "TJK" "459.2474"
"421" "AFG" "TKL" "13214.7"
"422" "AFG" "TKM" "1042.731"
"423" "AFG" "TMP" "7622.778"
"424" "AFG" "TON" "13625"
"425" "AFG" "TTO" "12807"
"426" "AFG" "TUN" "5252.618"
"427" "AFG" "TUR" "3581.608"
"428" "AFG" "TUV" "12382.26"
"429" "AFG" "TWN" "5105.786"
"430" "AFG" "TZA" "5574.784"
"431" "AFG" "UGA" "5380.85"
"432" "AFG" "UKR" "3580.626"
"433" "AFG" "URY" "15100.65"
"434" "AFG" "USA" "10847.88"
"435" "AFG" "UZB" "751.2709"
"436" "AFG" "VCT" "12577.82"
"437" "AFG" "VEN" "13208.57"
"438" "AFG" "VGB" "12377.8"
"439" "AFG" "VNM" "3884.103"
"440" "AFG" "VUT" "11938.98"
"441" "AFG" "WLF" "13094.98"
"442" "AFG" "WSM" "12020.44"
"443" "AFG" "YEM" "3279.877"
"444" "AFG" "YUG" "4258.76"
"445" "AFG" "ZAF" "9273.133"
"446" "AFG" "ZAR" "7100.062"
"447" "AFG" "ZMB" "7048.76"
"448" "AFG" "ZWE" "7088.189"
"449" "AGO" "ABW" "9516.913"
"450" "AGO" "AFG" "7607.8"
"451" "AGO" "AGO" "419.9666"
"452" "AGO" "AIA" "8901.464"
"453" "AGO" "ALB" "5623.827"
"454" "AGO" "AND" "5837.088"
"455" "AGO" "ANT" "9383.188"
"456" "AGO" "ARE" "5805.255"
"457" "AGO" "ARG" "7792.03"
"458" "AGO" "ARM" "6331.346"
"459" "AGO" "ATG" "8746.965"
"460" "AGO" "AUS" "13528.2"
"461" "AGO" "AUT" "6357.017"
"462" "AGO" "AZE" "6643.251"
"463" "AGO" "BDI" "1878.576"
"464" "AGO" "BEL" "6696.229"
"465" "AGO" "BEN" "2071.837"
"466" "AGO" "BFA" "2876.135"
"467" "AGO" "BGD" "9121.098"
"468" "AGO" "BGR" "5822.248"
"469" "AGO" "BHR" "5615.473"
"470" "AGO" "BHS" "10490.61"
"471" "AGO" "BIH" "5888.789"
"472" "AGO" "BLR" "7104.678"
"473" "AGO" "BLZ" "11578.9"
"474" "AGO" "BMU" "9436.543"
"475" "AGO" "BOL" "8830.234"
"476" "AGO" "BRA" "6559.966"
"477" "AGO" "BRB" "8414.008"
"478" "AGO" "BRN" "11386.53"
"479" "AGO" "BTN" "9162.635"
"480" "AGO" "BWA" "2223.578"
"481" "AGO" "CAF" "1586.979"
"482" "AGO" "CAN" "10904.94"
"483" "AGO" "CCK" "9114.437"
"484" "AGO" "CHE" "6235.385"
"485" "AGO" "CHL" "8914.097"
"486" "AGO" "CHN" "11769.51"
"487" "AGO" "CIV" "2480.138"
"488" "AGO" "CMR" "1424.688"
"489" "AGO" "COG" "556.9467"
"490" "AGO" "COK" "16605.09"
"491" "AGO" "COL" "9911.524"
"492" "AGO" "COM" "3301.018"
"493" "AGO" "CPV" "4839.974"
"494" "AGO" "CRI" "10980.7"
"495" "AGO" "CUB" "10977.25"
"496" "AGO" "CXR" "10106.6"
"497" "AGO" "CYM" "10823.14"
"498" "AGO" "CYP" "5332.035"
"499" "AGO" "CZE" "6560.238"
"500" "AGO" "DEU" "6738.352"
"501" "AGO" "DJI" "4015.184"
"502" "AGO" "DMA" "8654.339"
"503" "AGO" "DNK" "7179.064"
"504" "AGO" "DOM" "9602.552"
"505" "AGO" "DZA" "5194.244"
"506" "AGO" "ECU" "10205.4"
"507" "AGO" "EGY" "4736.951"
"508" "AGO" "ERI" "3901.954"
"509" "AGO" "ESH" "4917.631"
"510" "AGO" "ESP" "5752.252"
"511" "AGO" "EST" "7665.317"
"512" "AGO" "ETH" "3464.567"
"513" "AGO" "FIN" "7746.235"
"514" "AGO" "FJI" "16618.51"
"515" "AGO" "FLK" "7947.249"
"516" "AGO" "FRA" "6510.322"
"517" "AGO" "FRO" "8073.677"
"518" "AGO" "FSM" "16170.59"
"519" "AGO" "GAB" "1110.371"
"520" "AGO" "GBR" "6837.594"
"521" "AGO" "GEO" "6482.799"
"522" "AGO" "GHA" "2192.395"
"523" "AGO" "GIB" "5370.596"
"524" "AGO" "GIN" "3804.649"
"525" "AGO" "GLP" "8708.249"
"526" "AGO" "GMB" "4132.186"
"527" "AGO" "GNB" "3941.227"
"528" "AGO" "GNQ" "1485.016"
"529" "AGO" "GRC" "5325.223"
"530" "AGO" "GRD" "8613.741"
"531" "AGO" "GRL" "9737.886"
"532" "AGO" "GTM" "11735.94"
"533" "AGO" "GUF" "7436.134"
"534" "AGO" "GUY" "8109.865"
"535" "AGO" "HKG" "11504.13"
"536" "AGO" "HND" "11377.58"
"537" "AGO" "HRV" "6086.698"
"538" "AGO" "HTI" "9868.396"
"539" "AGO" "HUN" "6296.004"
"540" "AGO" "IDN" "10294.87"
"541" "AGO" "IND" "8025.968"
"542" "AGO" "IRL" "7160.81"
"543" "AGO" "IRN" "6368.018"
"544" "AGO" "IRQ" "5736.821"
"545" "AGO" "ISL" "8642.954"
"546" "AGO" "ISR" "5096.148"
"547" "AGO" "ITA" "5645.243"
"548" "AGO" "JAM" "10324.34"
"549" "AGO" "JOR" "5140.358"
"550" "AGO" "JPN" "13861.75"
"551" "AGO" "KAZ" "8643.737"
"552" "AGO" "KEN" "2744.311"
"553" "AGO" "KGZ" "8454.77"
"554" "AGO" "KHM" "10393.31"
"555" "AGO" "KIR" "17657.94"
"556" "AGO" "KNA" "8842.232"
"557" "AGO" "KOR" "12705.4"
"558" "AGO" "KWT" "5649.504"
"559" "AGO" "LAO" "10254.81"
"560" "AGO" "LBN" "5301.993"
"561" "AGO" "LBR" "3154.236"
"562" "AGO" "LBY" "4626.358"
"563" "AGO" "LCA" "8580.775"
"564" "AGO" "LKA" "7594.32"
"565" "AGO" "LSO" "2721.224"
"566" "AGO" "LTU" "7158.965"
"567" "AGO" "LUX" "6540.273"
"568" "AGO" "LVA" "7388.835"
"569" "AGO" "MAC" "11443.56"
"570" "AGO" "MAR" "5221.762"
"571" "AGO" "MDA" "6403.256"
"572" "AGO" "MDG" "3857.428"
"573" "AGO" "MDV" "6836.069"
"574" "AGO" "MEX" "12686"
"575" "AGO" "MHL" "17596.71"
"576" "AGO" "MKD" "5719.467"
"577" "AGO" "MLI" "3352.429"
"578" "AGO" "MLT" "4980.603"
"579" "AGO" "MMR" "9555.35"
"580" "AGO" "MNG" "11014.06"
"581" "AGO" "MNP" "14824.51"
"582" "AGO" "MOZ" "2794.277"
"583" "AGO" "MRT" "4395.738"
"584" "AGO" "MSR" "8775.924"
"585" "AGO" "MTQ" "8605.604"
"586" "AGO" "MUS" "4915.372"
"587" "AGO" "MWI" "2314.207"
"588" "AGO" "MYS" "9900.254"
"589" "AGO" "NAM" "1582.875"
"590" "AGO" "NCL" "15503.07"
"591" "AGO" "NER" "2778.376"
"592" "AGO" "NFK" "15020.05"
"593" "AGO" "NGA" "2017.813"
"594" "AGO" "NIC" "11252.12"
"595" "AGO" "NIU" "16914.76"
"596" "AGO" "NLD" "6856.132"
"597" "AGO" "NOR" "7655.045"
"598" "AGO" "NPL" "8745.843"
"599" "AGO" "NRU" "16933.59"
"600" "AGO" "NZL" "13836.31"
"601" "AGO" "OMN" "6115.173"
"602" "AGO" "PAK" "7889.046"
"603" "AGO" "PAL" "5027.387"
"604" "AGO" "PAN" "10468.29"
"605" "AGO" "PCN" "14553.54"
"606" "AGO" "PER" "9843.897"
"607" "AGO" "PHL" "12159.63"
"608" "AGO" "PLW" "13562.46"
"609" "AGO" "PNG" "14529.4"
"610" "AGO" "POL" "6838.712"
"611" "AGO" "PRI" "9222.951"
"612" "AGO" "PRK" "12578.15"
"613" "AGO" "PRT" "5779.503"
"614" "AGO" "PRY" "7684.19"
"615" "AGO" "PYF" "16543.5"
"616" "AGO" "QAT" "5620.981"
"617" "AGO" "REU" "4718.442"
"618" "AGO" "ROM" "6066.591"
"619" "AGO" "RUS" "7535.854"
"620" "AGO" "RWA" "2014.346"
"621" "AGO" "SAU" "5207.322"
"622" "AGO" "SDN" "3447.449"
"623" "AGO" "SEN" "4277.941"
"624" "AGO" "SGP" "10104.83"
"625" "AGO" "SHN" "2203.998"
"626" "AGO" "SLB" "15818.79"
"627" "AGO" "SLE" "3517.934"
"628" "AGO" "SLV" "11580.46"
"629" "AGO" "SMR" "5875.244"
"630" "AGO" "SOM" "3760.601"
"631" "AGO" "SPM" "9206.762"
"632" "AGO" "STP" "1239.145"
"633" "AGO" "SUR" "7771.882"
"634" "AGO" "SVK" "6355.751"
"635" "AGO" "SVN" "6111.597"
"636" "AGO" "SWE" "7599.202"
"637" "AGO" "SWZ" "2711.923"
"638" "AGO" "SYC" "4687.008"
"639" "AGO" "SYR" "5305.969"
"640" "AGO" "TCA" "9801.308"
"641" "AGO" "TCD" "2345.135"
"642" "AGO" "TGO" "2128.469"
"643" "AGO" "THA" "9955.721"
"644" "AGO" "TJK" "7803.152"
"645" "AGO" "TKL" "17965.46"
"646" "AGO" "TKM" "7002.799"
"647" "AGO" "TMP" "12285.98"
"648" "AGO" "TON" "16570.23"
"649" "AGO" "TTO" "8557.671"
"650" "AGO" "TUN" "5092.534"
"651" "AGO" "TUR" "5778.666"
"652" "AGO" "TUV" "17554.26"
"653" "AGO" "TWN" "12268.99"
"654" "AGO" "TZA" "2880.082"
"655" "AGO" "UGA" "2373.897"
"656" "AGO" "UKR" "6802.643"
"657" "AGO" "URY" "7581.052"
"658" "AGO" "USA" "10427.39"
"659" "AGO" "UZB" "7977.375"
"660" "AGO" "VCT" "8587.411"
"661" "AGO" "VEN" "9137.924"
"662" "AGO" "VGB" "9066.944"
"663" "AGO" "VNM" "10637.65"
"664" "AGO" "VUT" "15999.4"
"665" "AGO" "WLF" "17358.19"
"666" "AGO" "WSM" "16571.79"
"667" "AGO" "YEM" "4352.742"
"668" "AGO" "YUG" "6017.293"
"669" "AGO" "ZAF" "2844.23"
"670" "AGO" "ZAR" "553.1064"
"671" "AGO" "ZMB" "1791.822"
"672" "AGO" "ZWE" "2170.012"
"673" "AIA" "ABW" "983.2682"
"674" "AIA" "AFG" "12292.16"
"675" "AIA" "AGO" "8901.464"
"676" "AIA" "AIA" "3.7987"
"677" "AIA" "ALB" "8108.476"
"678" "AIA" "AND" "6589.531"
"679" "AIA" "ANT" "927.4568"
"680" "AIA" "ARE" "11757.2"
"681" "AIA" "ARG" "5905.684"
"682" "AIA" "ARM" "10127.37"
"683" "AIA" "ATG" "177.8854"
"684" "AIA" "AUS" "16217.81"
"685" "AIA" "AUT" "7742.359"
"686" "AIA" "AZE" "10525.91"
"687" "AIA" "BDI" "10385.66"
"688" "AIA" "BEL" "6876.788"
"689" "AIA" "BEN" "7217.354"
"690" "AIA" "BFA" "6596.8"
"691" "AIA" "BGD" "14548.35"
"692" "AIA" "BGR" "8365.194"
"693" "AIA" "BHR" "11330.65"
"694" "AIA" "BHS" "1660.373"
"695" "AIA" "BIH" "7954.177"
"696" "AIA" "BLR" "8426.104"
"697" "AIA" "BLZ" "2728.327"
"698" "AIA" "BMU" "1577.063"
"699" "AIA" "BOL" "3904.127"
"700" "AIA" "BRA" "4977.742"
